name,industry,location,website,email,score
Fintech Capital LLC,Fintech,"88 Pine St 26th Floor, New York, NY 10005, United States",http://fintechcapitalllc.com/,,100
Fintech Nexus,Fintech,"1450 Broadway 32nd floor, New York, NY 10018, United States",https://www.fintechnexus.com/?utm_source=GMB_Listing,,100
Ocrolus,Fintech,"101 Greenwich St Fl. 11A, New York, NY 10006, United States",http://www.ocrolus.com/,,100
Minority Fintech,Fintech,"1 World Trade Center 85th Fl, New York, NY 10007, United States",https://www.google.com/maps/place/?q=place_id:ChIJR6l9XpBbwokRO-eSRmKjBOw,,100
